#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2018-05-10T10:50:35 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5af41ece3370	
#INFO	-out.max=unlimited	
#INFO	queryParameters=36	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:I/345&tab:{I/345/gaia2}&key:source=I/345/gaia2&HTTPPRM:&
#-c=NGC2070
#-c.eq=J2000
#-c.r=  0.2
#-c.u=deg
#-c.geom=r
#-source=I/345/gaia2
#-order=I
#-out.orig=standard
#-out=DR2Name
#-out=RA_ICRS
#RA_ICRS=!=
#-out=e_RA_ICRS
#-out=DE_ICRS
#DE_ICRS=!=
#-out=e_DE_ICRS
#-out=Plx
#Plx=<2
#-out=e_Plx
#-out=pmRA
#pmRA=-2..2
#-out=e_pmRA
#e_pmRA=<=0.1
#-out=pmDE
#pmDE=-2..2
#-out=e_pmDE
#e_pmDE=<=0.1
#epsi=<1
#Nper=>=5
#-out=Gmag
#Gmag=<17
#-out=e_Gmag
#-out=RV
#-out=e_RV
#
#INFO	-c=084.675000-69.100000,rd=0.2	
#

#RESOURCE=yCat_1345
#Name: I/345
#Title: Gaia DR2 (Gaia Collaboration, 2018)
#Coosys	H_2015.500:	ICRS
#Table	I_345_gaia2:
#Name: I/345/gaia2
#Title: GaiaSource DR2 data
#Column	DR2Name	(a28)	Unique source designation (unique across all Data Releases) (Gaia DR2 NNNNNNNNNNNNNNNNNNN) (designation) (1)	[ucd=meta.id]
#Column	RA_ICRS	(F15.11)	Barycentric right ascension (ICRS) at Ep=2015.5 (ra)	[ucd=pos.eq.ra;meta.main]
#Column	e_RA_ICRS	(F7.4)	Standard error of right ascension (e_RA*cosDE) (ra_error)	[ucd=stat.error;pos.eq.ra]
#Column	DE_ICRS	(F15.11)	Barycentric declination (ICRS) at Ep=2015.5 (dec)	[ucd=pos.eq.dec;meta.main]
#Column	e_DE_ICRS	(F7.4)	Standard error of declination (dec_error)	[ucd=stat.error;pos.eq.dec]
#Column	Plx	(F10.4)	? Absolute stellar parallax (parallax)	[ucd=pos.parallax]
#Column	e_Plx	(F7.4)	? Standard error of parallax (parallax_error)	[ucd=stat.error;pos.parallax]
#Column	pmRA	(F9.3)	? Proper motion in right ascension direction (pmRA*cosDE) (pmra) (3)	[ucd=pos.pm;pos.eq.ra]
#Column	e_pmRA	(F6.3)	? Standard error of proper motion in right ascension direction (pmra_error)	[ucd=stat.error;pos.pm;pos.eq.ra]
#Column	pmDE	(F9.3)	? Proper motion in declination direction (pmdec) (4)	[ucd=pos.pm;pos.eq.dec]
#Column	e_pmDE	(F6.3)	? Standard error of proper motion in declination direction (pmdec_error)	[ucd=stat.error;pos.pm;pos.eq.dec]
#Column	Gmag	(F7.4)	G-band mean magnitude (Vega) (phot_g_mean_mag) (23)	[ucd=phot.mag;stat.mean;em.opt]
#Column	e_Gmag	(F6.4)	Standard error of G-band mean magnitude (Vega) (added by CDS) (phot_g_mean_mag_error)	[ucd=stat.error;phot.mag;stat.mean]
#Column	RV	(F7.2)	? Spectroscopic radial velocity in the solar barycentric reference frame (radial_velocity)	[ucd=spect.dopplerVeloc.opt;pos.barycenter]
#Column	e_RV	(F5.2)	? Radial velocity error (radial_velocity_error) (30)	[ucd=stat.error;spect.dopplerVeloc.opt;pos.barycenter]
DR2Name|RA_ICRS|e_RA_ICRS|DE_ICRS|e_DE_ICRS|Plx|e_Plx|pmRA|e_pmRA|pmDE|e_pmDE|Gmag|e_Gmag|RV|e_RV
Gaia DR2 4657685461824713472|084.74547021682| 0.0395|-69.11171324608| 0.0477|   -0.0566| 0.0426|    1.741| 0.077|    0.737| 0.089|15.5984|0.0015|       |
Gaia DR2 4657685466108821376|084.72015939823| 0.0296|-69.10336444495| 0.0339|   -0.0012| 0.0318|    1.838| 0.057|    0.723| 0.067|15.0378|0.0007|       |
Gaia DR2 4657685530496770944|084.68993509290| 0.0291|-69.09662826356| 0.0305|    0.0244| 0.0311|    1.836| 0.055|    0.774| 0.059|12.4693|0.0013|       |
Gaia DR2 4657685500468553088|084.71690270325| 0.0306|-69.09274286605| 0.0389|   -0.0140| 0.0330|    1.702| 0.057|    0.726| 0.069|15.2484|0.0067|       |
Gaia DR2 4657685534828291072|084.70435792440| 0.0360|-69.10545976304| 0.0404|    0.0033| 0.0401|    1.734| 0.069|    0.684| 0.088|15.5421|0.0010|       |
Gaia DR2 4657685534828230528|084.69496390873| 0.0252|-69.10088293708| 0.0256|    0.0564| 0.0282|    1.747| 0.048|    0.722| 0.050|14.1771|0.0007|       |
Gaia DR2 4657685569167442432|084.67333936405| 0.0409|-69.08706846740| 0.0438|   -0.0598| 0.0378|    1.596| 0.076|    0.806| 0.079|12.1455|0.0018|       |
Gaia DR2 4657685564856499328|084.66921439322| 0.0317|-69.08224189944| 0.0331|    0.0300| 0.0315|    1.567| 0.060|    0.657| 0.063|15.1224|0.0016|       |
Gaia DR2 4657685534807606784|084.69653324546| 0.0450|-69.09848306725| 0.0522|   -0.0277| 0.0543|    1.903| 0.085|    0.914| 0.091|15.7390|0.0018|       |
Gaia DR2 4657685461777222016|084.70945570874| 0.0242|-69.10123931149| 0.0285|   -0.0528| 0.0271|    1.710| 0.047|    0.746| 0.054|14.9309|0.0008|       |
Gaia DR2 4657685569167418752|084.66451868162| 0.0346|-69.08622240850| 0.0348|   -0.0339| 0.0336|    1.753| 0.070|    0.895| 0.067|14.5526|0.0009|       |
Gaia DR2 4657685500468567040|084.73779965983| 0.0272|-69.10156907412| 0.0303|    0.0037| 0.0283|    1.743| 0.052|    0.794| 0.054|11.8292|0.0009|       |
Gaia DR2 4657685569188005248|084.67344046676| 0.0330|-69.08755072156| 0.0325|    0.0056| 0.0315|    1.919| 0.065|    0.779| 0.059|12.4652|0.0048|       |
Gaia DR2 4657685530496766336|084.67957014448| 0.0380|-69.09635935784| 0.0428|   -0.2246| 0.0416|    1.644| 0.066|    0.532| 0.073|13.3643|0.0027|       |
Gaia DR2 4657685534828237056|084.66817351320| 0.0396|-69.09551157136| 0.0395|    0.0320| 0.0429|    1.830| 0.070|    0.849| 0.077|14.9126|0.0016|       |
Gaia DR2 4657685534828070144|084.67852349650| 0.0424|-69.09178474363| 0.0425|   -0.0057| 0.0403|    1.919| 0.079|    1.133| 0.082|15.4318|0.0019|       |
Gaia DR2 4657685534828071168|084.68713228983| 0.0330|-69.09255623073| 0.0359|    0.1174| 0.0345|    1.877| 0.065|    0.693| 0.072|15.0786|0.0010|       |
Gaia DR2 4657685564856502528|084.67649584601| 0.0320|-69.08282950609| 0.0304|   -0.2294| 0.0301|    1.450| 0.057|    0.957| 0.057|11.9046|0.0006|       |
Gaia DR2 4657685569187906048|084.68570645211| 0.0313|-69.08090237087| 0.0323|   -0.0641| 0.0304|    1.612| 0.057|    0.806| 0.060|13.8978|0.0009|       |
Gaia DR2 4657685599216262016|084.74977513813| 0.0365|-69.09499593597| 0.0430|   -0.0365| 0.0405|    1.833| 0.069|    0.769| 0.079|15.4570|0.0010|       |
Gaia DR2 4657685672267107840|084.67658400916| 0.0493|-69.07354411233| 0.0535|    0.0564| 0.0500|    1.991| 0.092|    0.758| 0.100|15.4297|0.0042|       |
Gaia DR2 4657685637907503744|084.73136339876| 0.0363|-69.07411071795| 0.0483|   -0.0221| 0.0436|    1.843| 0.070|    0.786| 0.080|15.6556|0.0020|       |
Gaia DR2 4657685706627204992|084.71388023579| 0.0325|-69.06904478310| 0.0356|   -0.0193| 0.0319|    1.566| 0.066|    0.732| 0.064|15.3512|0.0015|       |
Gaia DR2 4657685706626803200|084.68297059767| 0.0372|-69.05454709619| 0.0479|   -0.0858| 0.0447|    1.548| 0.071|    0.835| 0.090|15.8374|0.0012|       |
Gaia DR2 4657685672267222144|084.69391453939| 0.0208|-69.07445418421| 0.0226|   -0.0324| 0.0220|    1.640| 0.039|    0.773| 0.043|13.9614|0.0006|       |
Gaia DR2 4657685667984551552|084.67772797702| 0.0439|-69.07042389371| 0.0428|   -0.0908| 0.0418|    1.777| 0.081|    0.345| 0.082|14.6439|0.0086|       |
Gaia DR2 4657685637907512320|084.74332007033| 0.0462|-69.07644417124| 0.0519|   -0.0174| 0.0488|    1.797| 0.087|    0.651| 0.098|16.2367|0.0042|       |
Gaia DR2 4657685672267128320|084.67104853627| 0.0288|-69.07357295395| 0.0305|    0.0532| 0.0306|    1.818| 0.054|    0.634| 0.059|14.1415|0.0010|       |
Gaia DR2 4657685805374694528|084.76990386670| 0.0462|-69.06941870831| 0.0521|   -0.0717| 0.0480|    1.960| 0.084|    1.027| 0.095|13.0024|0.0026|       |
Gaia DR2 4657685809706215168|084.77246944892| 0.0374|-69.07531861798| 0.0440|   -0.0622| 0.0411|    1.723| 0.071|    0.835| 0.085|15.6549|0.0014|       |
Gaia DR2 4657685874091615104|084.81984356083| 0.0391|-69.05768047773| 0.0474|    0.0024| 0.0441|    1.817| 0.076|    0.902| 0.091|15.7737|0.0010|       |
Gaia DR2 4657685981505115264|084.77979428849| 0.0400|-69.03134997335| 0.0472|   -0.0156| 0.0440|    1.827| 0.078|    0.914| 0.087|14.5956|0.0030|       |
Gaia DR2 4657685981504903552|084.80214503261| 0.0182|-69.03601439643| 0.0209|   -0.0109| 0.0208|    1.795| 0.035|    0.790| 0.038|13.9786|0.0003|       |
Gaia DR2 4657685977170493568|084.79718535319| 0.0326|-69.03376606139| 0.0371|    0.0221| 0.0344|    1.854| 0.062|    0.930| 0.067|12.8877|0.0015|       |
Gaia DR2 4657685912785446528|084.83975364937| 0.0288|-69.05512486323| 0.0366|   -0.0629| 0.0337|    1.756| 0.055|    0.929| 0.066|15.4126|0.0008|       |
Gaia DR2 4657686118943755520|084.70631649158| 0.0389|-69.04175659655| 0.0524|   -0.0551| 0.0478|    1.818| 0.074|    0.633| 0.091|15.6405|0.0009|       |
Gaia DR2 4657686084584320640|084.69121223287| 0.0348|-69.04539900477| 0.0410|   -0.0244| 0.0379|    1.739| 0.070|    0.787| 0.076|15.7363|0.0013|       |
Gaia DR2 4657686050224365952|084.75166433967| 0.0393|-69.05849063258| 0.0500|   -0.0809| 0.0468|    1.655| 0.075|    0.692| 0.094|15.8888|0.0014|       |
Gaia DR2 4657686084583876480|084.68914655006| 0.0301|-69.04762178796| 0.0361|    0.0308| 0.0338|    1.832| 0.057|    0.858| 0.070|14.9533|0.0011|       |
Gaia DR2 4657686217691533568|084.67953029661| 0.0307|-69.02570808271| 0.0379|   -0.0187| 0.0367|    1.631| 0.059|    0.732| 0.068|13.0568|0.0021|       |
Gaia DR2 4657686222022977920|084.72243143413| 0.0286|-69.03357815246| 0.0357|   -0.0190| 0.0332|    1.639| 0.055|    0.987| 0.064|10.9933|0.0012|       |
Gaia DR2 4657686393821460480|084.57385900301| 0.0289|-69.06070611136| 0.0292|   -0.0619| 0.0272|    1.669| 0.054|    0.645| 0.053|14.8489|0.0007|       |
Gaia DR2 4657686359461747200|084.60928637880| 0.0372|-69.08383528365| 0.0397|    0.0311| 0.0384|    1.976| 0.069|    0.874| 0.082|15.4856|0.0013|       |
Gaia DR2 4657686359461699840|084.57091870101| 0.0374|-69.06691618705| 0.0385|   -0.0622| 0.0375|    1.527| 0.070|    0.712| 0.075|12.8828|0.0093| 264.05| 1.20
Gaia DR2 4657686290721647872|084.64964284220| 0.0392|-69.09305120065| 0.0513|    0.0636| 0.0472|    1.793| 0.075|    0.860| 0.089|15.2388|0.0026|       |
Gaia DR2 4657686286410997504|084.65403136958| 0.0311|-69.08551760565| 0.0305|    0.0471| 0.0288|    1.886| 0.058|    0.908| 0.054|12.0089|0.0014|       |
Gaia DR2 4657686325102489600|084.65358624665| 0.0417|-69.08286445147| 0.0457|   -0.0016| 0.0398|    1.501| 0.085|    0.695| 0.093|14.6544|0.0010|       |
Gaia DR2 4657686290742450048|084.65694364211| 0.0345|-69.09502496861| 0.0382|   -0.0084| 0.0352|    1.682| 0.065|    0.759| 0.072|14.8318|0.0017|       |
Gaia DR2 4657686290742451072|084.65847207089| 0.0333|-69.09537151337| 0.0343|   -0.0331| 0.0316|    1.729| 0.062|    0.848| 0.064|14.6226|0.0013|       |
Gaia DR2 4657686355130456448|084.56952639795| 0.0460|-69.07054086887| 0.0469|   -0.0651| 0.0454|    1.972| 0.084|    0.632| 0.089|12.8456|0.0113|       |
Gaia DR2 4657686355130457088|084.57350095305| 0.0169|-69.06997030835| 0.0176|   -0.0167| 0.0169|    1.682| 0.032|    0.580| 0.033|13.2984|0.0011| 262.89| 1.94
Gaia DR2 4657686325102023552|084.64158528559| 0.0299|-69.07256167670| 0.0315|    0.0160| 0.0296|    1.925| 0.057|    0.777| 0.061|14.2728|0.0006|       |
Gaia DR2 4657686290742282112|084.62498482621| 0.0287|-69.08478030102| 0.0310|   -0.0024| 0.0298|    1.764| 0.053|    0.729| 0.058|14.7899|0.0009|       |
Gaia DR2 4657686290742293888|084.64010281492| 0.0268|-69.08069422563| 0.0281|   -0.0045| 0.0271|    1.758| 0.050|    0.674| 0.055|12.6989|0.0014|       |
Gaia DR2 4657686286410990464|084.63462617322| 0.0295|-69.08995929971| 0.0321|    0.0234| 0.0307|    1.809| 0.055|    0.783| 0.061|14.5588|0.0011|       |
Gaia DR2 4657686359461706112|084.57498012030| 0.0325|-69.06934861299| 0.0358|    0.0339| 0.0336|    1.656| 0.061|    0.676| 0.068|14.9569|0.0009|       |
Gaia DR2 4657686359440941696|084.57630352022| 0.0348|-69.06728972178| 0.0382|    0.1001| 0.0366|    1.692| 0.065|   -0.592| 0.073|13.1649|0.0007|       |
Gaia DR2 4657686286460115200|084.63753066959| 0.0484|-69.08697161885| 0.0523|    0.0685| 0.0494|    1.757| 0.088|    0.478| 0.099|15.0682|0.0032|       |
Gaia DR2 4657686393821466240|084.58718895988| 0.0204|-69.06389128337| 0.0216|   -0.0195| 0.0198|    1.689| 0.039|    0.665| 0.041|13.6380|0.0005|       |
Gaia DR2 4657686286459828992|084.65723134048| 0.0271|-69.08918599797| 0.0297|    0.0040| 0.0287|    1.835| 0.050|    0.923| 0.055|13.5448|0.0008|       |
Gaia DR2 4657686428181221760|084.63665761968| 0.0330|-69.05542851134| 0.0386|   -0.0872| 0.0367|    1.789| 0.063|    0.737| 0.074|15.4797|0.0016|       |
Gaia DR2 4657686462540979328|084.65762039139| 0.0358|-69.05805798090| 0.0394|   -0.0088| 0.0377|    1.826| 0.067|    0.810| 0.076|15.0917|0.0012|       |
Gaia DR2 4657686458209694208|084.66425633686| 0.0409|-69.05214255435| 0.0524|    0.0267| 0.0483|    1.796| 0.078|    0.656| 0.096|16.0561|0.0017|       |
Gaia DR2 4657686462520312064|084.66598808259| 0.0413|-69.06144172989| 0.0441|    0.0942| 0.0428|    1.801| 0.076|    0.617| 0.085|15.8132|0.0018|       |
Gaia DR2 4657686561288882816|084.52753002896| 0.0258|-69.06253833909| 0.0323|   -0.0051| 0.0270|    1.732| 0.048|    0.488| 0.059|13.0791|0.0031| 264.76| 0.67
Gaia DR2 4657686561288886016|084.56209777905| 0.0287|-69.06347454204| 0.0274|   -0.0929| 0.0284|    1.601| 0.053|    0.708| 0.051|12.8501|0.0008|       |
Gaia DR2 4657686561288886144|084.56406258925| 0.0260|-69.06765639341| 0.0268|    0.0967| 0.0254|    1.753| 0.049|    0.517| 0.050|12.7515|0.0004|       |
Gaia DR2 4657686565620151680|084.56503669133| 0.0481|-69.06727189451| 0.0517|   -0.1929| 0.0499|    1.587| 0.094|    0.870| 0.099|15.8832|0.0031|       |
Gaia DR2 4657686703059060224|084.54325128389| 0.0348|-69.04183754389| 0.0404|    0.0394| 0.0402|    1.678| 0.066|    0.691| 0.084|15.5059|0.0008|       |
Gaia DR2 4657686737418797056|084.55367447663| 0.0408|-69.02759430805| 0.0474|   -0.0656| 0.0457|    1.670| 0.075|    0.625| 0.091|16.2312|0.0009|       |
Gaia DR2 4657686977937032704|084.66744615406| 0.0378|-69.02009709303| 0.0501|   -0.1341| 0.0440|    1.880| 0.074|    1.112| 0.095|14.0457|0.0006|       |
Gaia DR2 4657686977937515136|084.67735247012| 0.0287|-69.01731223103| 0.0406|   -0.1066| 0.0369|    1.601| 0.058|    0.632| 0.085|13.1107|0.0019|       |
Gaia DR2 4657687115375917568|084.56099732664| 0.0311|-69.01598790191| 0.0360|    0.0491| 0.0344|    1.930| 0.057|    0.772| 0.069|15.1773|0.0036|       |
Gaia DR2 4657687115375913728|084.55141160995| 0.0298|-69.01591966926| 0.0313|    0.0047| 0.0331|    1.587| 0.058|    0.730| 0.059|12.3228|0.0011|       |
Gaia DR2 4657687252814845568|084.54024392855| 0.0424|-68.98829306620| 0.0515|   -0.0537| 0.0466|    1.732| 0.078|    0.619| 0.095|16.2104|0.0012|       |
Gaia DR2 4657687493333392256|084.81764723560| 0.0404|-69.02232743486| 0.0559|   -0.1222| 0.0508|    1.593| 0.078|    0.856| 0.096|16.0197|0.0013|       |
Gaia DR2 4657687420279855232|084.83291294339| 0.0242|-69.02023902937| 0.0293|   -0.0099| 0.0274|    1.618| 0.046|    0.626| 0.054|15.1099|0.0011|       |
Gaia DR2 4657687493333371264|084.78485754932| 0.0392|-69.01599271491| 0.0482|    0.0235| 0.0462|    1.852| 0.074|    0.790| 0.091|15.4443|0.0006|       |
Gaia DR2 4657687630772331136|084.81366209008| 0.0409|-68.99836383583| 0.0542|   -0.0119| 0.0493|    1.637| 0.077|    0.346| 0.097|16.2175|0.0013|       |
Gaia DR2 4657687562052873472|084.85200224228| 0.0358|-68.99962043901| 0.0486|    0.0336| 0.0439|    1.746| 0.068|    0.581| 0.087|15.9304|0.0021|       |
Gaia DR2 4657687733851283328|084.70170089579| 0.0386|-68.99719623125| 0.0487|   -0.1770| 0.0449|    1.830| 0.073|    1.055| 0.088|15.4095|0.0007|       |
Gaia DR2 4657687699491793280|084.77884956189| 0.0273|-69.00458997398| 0.0315|   -0.0851| 0.0294|    1.745| 0.052|    0.897| 0.057|15.0398|0.0005|       |
Gaia DR2 4657687665131987712|084.73768963230| 0.0406|-69.01589873583| 0.0516|   -0.0751| 0.0499|    1.446| 0.077|    0.583| 0.089|16.1191|0.0008|       |
Gaia DR2 4657687699491785728|084.76510014036| 0.0428|-69.00529303081| 0.0553|   -0.0844| 0.0514|    1.589| 0.080|    1.020| 0.096|15.4418|0.0008|       |
Gaia DR2 4657687802570787840|084.74111867377| 0.0387|-68.98799481763| 0.0490|   -0.0039| 0.0448|    1.827| 0.074|    0.824| 0.091|16.0274|0.0035|       |
Gaia DR2 4657688008729437312|084.80167817481| 0.0371|-68.97915680058| 0.0523|    0.0587| 0.0459|    1.704| 0.070|    0.567| 0.095|16.1015|0.0010|       |
Gaia DR2 4657688008729442944|084.81337111325| 0.0360|-68.98099786647| 0.0495|    0.0320| 0.0437|    1.693| 0.068|    0.700| 0.086|15.4513|0.0032|       |
Gaia DR2 4657688008729459072|084.83141903592| 0.0350|-68.98915379269| 0.0476|    0.0295| 0.0423|    1.620| 0.067|    0.491| 0.084|15.8332|0.0045|       |
Gaia DR2 4657687940009996416|084.85862287633| 0.0313|-68.99580581307| 0.0414|    0.0107| 0.0375|    1.626| 0.061|    0.728| 0.073|15.0836|0.0006|       |
Gaia DR2 4657688077448943744|084.87152891429| 0.0372|-68.96806970395| 0.0502|   -0.1080| 0.0439|    1.645| 0.067|    0.934| 0.083|15.7197|0.0009|       |
Gaia DR2 4657688180528128256|084.83359752084| 0.0337|-68.94606502864| 0.0452|    0.0064| 0.0396|    1.804| 0.061|    0.466| 0.080|15.8572|0.0033|       |
Gaia DR2 4657688180527966208|084.79561431898| 0.0235|-68.94634172403| 0.0325|   -0.0514| 0.0268|    1.587| 0.043|    0.705| 0.058|14.5193|0.0008|       |
Gaia DR2 4657688283607095680|084.73330791367| 0.0436|-68.96357865449| 0.0504|    0.0041| 0.0447|    1.636| 0.081|    0.692| 0.094|16.2186|0.0011|       |
Gaia DR2 4657688249247368064|084.75374961706| 0.0414|-68.95825733848| 0.0532|   -0.0604| 0.0461|    1.562| 0.078|    0.605| 0.098|15.9974|0.0009|       |
Gaia DR2 4657688249247369216|084.76165773995| 0.0339|-68.95218325179| 0.0461|   -0.0008| 0.0400|    1.911| 0.066|    1.059| 0.089|15.0530|0.0005|       |
Gaia DR2 4657688249247389184|084.77261771168| 0.0295|-68.96037595342| 0.0425|   -0.0678| 0.0349|    1.670| 0.059|    0.726| 0.089|14.5075|0.0013|       |
Gaia DR2 4657688313632701568|084.73823571149| 0.0321|-68.94809413240| 0.0384|   -0.0967| 0.0338|    1.626| 0.059|    0.890| 0.069|12.7123|0.0011|       |
Gaia DR2 4657688317966817536|084.71799357882| 0.0414|-68.94537208856| 0.0530|   -0.0708| 0.0458|    1.371| 0.078|    0.356| 0.099|16.3736|0.0008|       |
Gaia DR2 4657688558484942848|084.62230853596| 0.0370|-68.98893609494| 0.0453|   -0.0220| 0.0423|    1.934| 0.069|    0.732| 0.084|16.0219|0.0011|       |
Gaia DR2 4657688695923883648|084.62146320005| 0.0330|-68.96092125367| 0.0361|   -0.0611| 0.0330|    1.691| 0.062|    0.826| 0.067|14.0946|0.0006|       |
Gaia DR2 4657688867722521088|084.51262485752| 0.0317|-68.94011418838| 0.0370|   -0.0758| 0.0334|    1.647| 0.058|    0.870| 0.070|15.1376|0.0006|       |
Gaia DR2 4657688799003074432|084.58042195775| 0.0255|-68.95435850447| 0.0298|   -0.1103| 0.0280|    1.708| 0.046|    0.754| 0.054|13.5589|0.0008|       |
Gaia DR2 4657689005161472384|084.52404496662| 0.0364|-68.92296220968| 0.0451|   -0.0177| 0.0378|    1.888| 0.067|    0.848| 0.087|15.6982|0.0009|       |
Gaia DR2 4657689039521276160|084.66374922005| 0.0376|-68.93981653214| 0.0475|    0.0060| 0.0410|    1.833| 0.070|    0.655| 0.088|15.9595|0.0012|       |
Gaia DR2 4657689103908626560|084.63999373279| 0.0284|-68.93493843093| 0.0338|    0.0142| 0.0306|    1.682| 0.050|    0.685| 0.062|15.3855|0.0005|       |
Gaia DR2 4657689142600464128|084.62913865990| 0.0305|-68.91954265559| 0.0361|   -0.0375| 0.0329|    1.655| 0.054|    0.726| 0.066|14.8536|0.0005|       |
Gaia DR2 4657689378818510208|084.55167835883| 0.0343|-68.91152991207| 0.0420|   -0.0857| 0.0379|    1.603| 0.061|    0.734| 0.077|15.8565|0.0012|       |
Gaia DR2 4657689451838093056|084.60764206198| 0.0351|-68.91004941041| 0.0393|    0.0267| 0.0400|    1.687| 0.061|    0.620| 0.075|14.1728|0.0007|       |
Gaia DR2 4657689623638368512|084.39993174686| 0.0257|-69.20827647278| 0.0260|   -0.0532| 0.0264|    1.813| 0.048|    0.674| 0.051|12.8866|0.0017| 287.88| 0.78
Gaia DR2 4657689657998084736|084.34229683314| 0.0340|-69.21005248724| 0.0387|   -0.0926| 0.0373|    1.531| 0.066|    0.472| 0.098|15.5731|0.0028|       |
Gaia DR2 4657689726717586560|084.42686087488| 0.0376|-69.20595704272| 0.0401|    0.0111| 0.0398|    1.749| 0.072|    0.555| 0.087|15.8111|0.0008|       |
Gaia DR2 4657689829796768512|084.35523221874| 0.0442|-69.17808942019| 0.0475|    0.0252| 0.0470|    1.655| 0.086|    0.405| 0.096|16.4204|0.0012|       |
Gaia DR2 4657689829796780416|084.37883859740| 0.0204|-69.18527428716| 0.0216|   -0.0289| 0.0210|    1.645| 0.040|    0.624| 0.043|14.4913|0.0032|       |
Gaia DR2 4657689829796779392|084.37437833515| 0.0409|-69.18638902112| 0.0454|   -0.0333| 0.0423|    1.729| 0.081|    0.734| 0.092|16.2373|0.0009|       |
Gaia DR2 4657689761077307136|084.38985196760| 0.0301|-69.18688480319| 0.0317|    0.0030| 0.0323|    1.630| 0.058|    0.690| 0.064|15.6403|0.0006|       |
Gaia DR2 4657689795437044864|084.37866464223| 0.0208|-69.19679609289| 0.0212|   -0.0375| 0.0219|    1.560| 0.039|    0.542| 0.043|14.2081|0.0005|       |
Gaia DR2 4657689859822244864|084.29578352807| 0.0274|-69.19419937533| 0.0271|   -0.0311| 0.0276|    1.817| 0.051|    0.587| 0.056|13.6761|0.0055| 296.27| 1.92
Gaia DR2 4657689967235681920|084.25068093080| 0.0236|-69.17238041903| 0.0239|   -0.0888| 0.0251|    1.491| 0.044|    0.577| 0.048|14.4623|0.0004|       |
Gaia DR2 4657689967235684352|084.25121892142| 0.0454|-69.17962600112| 0.0481|   -0.1077| 0.0472|    1.705| 0.087|    0.449| 0.097|16.3078|0.0014|       |
Gaia DR2 4657689864156501504|084.31226827422| 0.0405|-69.20503836500| 0.0396|   -0.0703| 0.0406|    1.857| 0.082|    0.734| 0.082|16.0370|0.0008|       |
Gaia DR2 4657690070314900224|084.26633069119| 0.0216|-69.16767785912| 0.0203|   -0.0531| 0.0218|    1.485| 0.038|    0.698| 0.041|12.9354|0.0029|       |
Gaia DR2 4657690070314894208|084.24589459335| 0.0205|-69.16568452853| 0.0182|   -0.0586| 0.0206|    1.614| 0.034|    0.569| 0.037|14.1869|0.0008|       |
Gaia DR2 4657690035955180672|084.32440387399| 0.0171|-69.16283236835| 0.0167|   -0.0469| 0.0178|    1.687| 0.031|    0.734| 0.033|13.4394|0.0014|       |
Gaia DR2 4657690100339408000|084.27350616696| 0.0394|-69.15345148688| 0.0397|   -0.0480| 0.0389|    1.762| 0.078|    0.438| 0.081|15.8847|0.0008|       |
Gaia DR2 4657690139034429952|084.40819426406| 0.0187|-69.17075733698| 0.0198|   -0.0577| 0.0191|    1.542| 0.037|    0.715| 0.043|14.0593|0.0012|       |
Gaia DR2 4657690139014721664|084.42894934583| 0.0455|-69.17639057819| 0.0447|    0.0126| 0.0494|    1.800| 0.082|    0.637| 0.091|16.1972|0.0023|       |
Gaia DR2 4657690203478622720|084.37539474033| 0.0354|-69.16414373749| 0.0353|   -0.0701| 0.0361|    1.567| 0.072|    0.764| 0.072|15.6622|0.0007|       |
Gaia DR2 4657690173394179584|084.43192937686| 0.0425|-69.17084491880| 0.0422|   -0.1110| 0.0450|    1.955| 0.081|    0.595| 0.087|15.4878|0.0012|       |
Gaia DR2 4657690242113618048|084.35910393390| 0.0286|-69.14902895396| 0.0277|   -0.0474| 0.0296|    1.751| 0.055|    0.736| 0.054|15.2727|0.0007|       |
Gaia DR2 4657690207753886592|084.35908768418| 0.0229|-69.16472381726| 0.0234|   -0.0199| 0.0240|    1.926| 0.045|    0.824| 0.047|14.6607|0.0006|       |
Gaia DR2 4657690207753883776|084.35269002439| 0.0179|-69.16468442634| 0.0178|   -0.0220| 0.0187|    1.635| 0.035|    0.572| 0.036|14.1951|0.0018|       |
Gaia DR2 4657690242113627008|084.37758956656| 0.0429|-69.15356516747| 0.0379|   -0.0561| 0.0392|    1.651| 0.087|    0.411| 0.077|15.9997|0.0012|       |
Gaia DR2 4657690134701584896|084.40225261181| 0.0226|-69.17568537238| 0.0216|   -0.0430| 0.0236|    1.715| 0.042|    0.750| 0.044|14.3838|0.0005|       |
Gaia DR2 4657690169061330688|084.43853047503| 0.0452|-69.17044745641| 0.0445|    0.0083| 0.0463|    1.716| 0.091|    0.676| 0.089|16.0264|0.0012|       |
Gaia DR2 4657690169061330944|084.43955997386| 0.0471|-69.16656192141| 0.0485|   -0.0123| 0.0481|    1.437| 0.097|    0.559| 0.098|16.0144|0.0011|       |
Gaia DR2 4657690169061331072|084.44123512740| 0.0421|-69.17277011303| 0.0449|    0.0548| 0.0443|    1.792| 0.085|    0.660| 0.091|16.3306|0.0012|       |
